rank,Species,high,low,delta,n,source
1,Paracheirodon innesi,26,20,6,,FB
2,Paracheirodon innesi,33.5,25,8.5,3,Lit 
3,Poecilia reticulata,28,18,10,,FB
4,Poecilia reticulata,41.8,9.41,32.39,23,Lit 
5,Puntigrus tetrazona,26,20,6,,FB
6,Puntigrus tetrazona,24,13.36,10.64,1,Lit 
7,Betta splendens,30,24,6,,FB
8,Betta splendens,30,21,9,2,Lit 
9,Trichogaster lalius,28,25,3,,FB
10,Trichogaster lalius,30,20,10,1,Lit 
11,Poecilia sphenops,28,18,10,,FB
12,Poecilia sphenops,43.1,7.5,35.6,3,Lit 
13,Xiphophorus maculatus,25,18,7,,FB
14,Xiphophorus maculatus,41.5,9.6,31.9,3,Lit 
15,Paracheirodon axelrodi,27,23,4,,FB
16,Paracheirodon axelrodi,39,13,26,4,Lit 
17,Chromobotia macracanthus,30,25,5,,FB
18,Chromobotia macracanthus,32,23,9,2,Lit 
19,Danio rerio,24,18,6,,FB
20,Danio rerio,42.3,5.3,37,27,Lit 
21,Tanichthys albonubes,22,18,4,,FB
22,Tanichthys albonubes,,,,,Lit 
23,Mikrogeophagus ramirezi,30,27,3,,FB
24,Mikrogeophagus ramirezi,,,,,Lit 
25,Macrotocinclus affinis,,,,,FB
26,Macrotocinclus affinis,,,,,Lit 
27,Corydoras aeneus,28,25,3,,FB
28,Corydoras aeneus,,,,,Lit 
29,Pterophyllum scalare,29.5,24,5.5,,FB
30,Pterophyllum scalare,41.2,11.3,29.9,4,Lit 
31,Corydoras paleatus,23,18,5,,FB
32,Corydoras paleatus,39,2,37,5,Lit 
33,Trichopodus trichopterus,28,22,6,,FB
34,Trichopodus trichopterus,39.86,10.14,29.72,4,Lit 
35,Pseudogastromyzon myersi,,,,,FB
36,Pseudogastromyzon myersi,25.1,12.4,12.7,1,Lit 
37,Hemigrammus bleheri,26,23,3,,FB
38,Hemigrammus bleheri,25.2,24.8,0.4,1,Lit 
39,Kryptopterus bicirrhis,26,21,5,,FB
40,Kryptopterus bicirrhis,,,,,Lit 
