Taxa,Year,Quantity,Frequency,Kingdom,Phylum,Class,Order,Family,Genus,Species
Abramites hypselonotus,2015,45,2,Animalia,Chordata,Actinopterygii,Characiformes,Anostomidae,Abramites,Abramites hypselonotus
Abudefduf saxatilis,2015,33,2,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,Abudefduf saxatilis
Abudefduf saxatilis,2016,134,14,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Abudefduf,Abudefduf saxatilis
Acanthastrea echinata,2015,2,1,Animalia,Cnidaria,Anthozoa,Scleractinia,Lobophylliidae,Acanthastrea,Acanthastrea echinata
Acanthastrea echinata,2019,10,2,Animalia,Cnidaria,Anthozoa,Scleractinia,Lobophylliidae,Acanthastrea,Acanthastrea echinata
Acanthastrea sp.,2016,3,1,Animalia,Cnidaria,Anthozoa,Scleractinia,Lobophylliidae,Acanthastrea,NA
Acanthastrea sp.,2017,10,2,Animalia,Cnidaria,Anthozoa,Scleractinia,Lobophylliidae,Acanthastrea,NA
Acanthurus achilles,2015,17,1,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus achilles
Acanthurus achilles,2016,7,4,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus achilles
Acanthurus achilles,2017,5,2,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus achilles
Acanthurus blochii,2019,3,1,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus blochii
Acanthurus chronixis,2015,7,3,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus chronixis
Acanthurus chronixis,2016,1,1,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus chronixis
Acanthurus chronixis,2017,8,3,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus chronixis
Acanthurus chronixis,2019,1,1,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus chronixis
Acanthurus coeruleus,2017,5,1,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus coeruleus
Acanthurus dussumieri,2015,7,3,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus dussumieri
Acanthurus dussumieri,2016,2,1,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus dussumieri
Acanthurus dussumieri,2017,6,3,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus dussumieri
Acanthurus dussumieri,2019,4,1,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus dussumieri
Acanthurus japonicus,2015,9,4,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus japonicus
Acanthurus japonicus,2016,6,2,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus japonicus
Acanthurus japonicus,2017,6,1,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus japonicus
Acanthurus leucosternon,2015,50,12,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus leucosternon
Acanthurus leucosternon,2016,81,17,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus leucosternon
Acanthurus leucosternon,2017,66,11,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus leucosternon
Acanthurus leucosternon,2018,31,6,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus leucosternon
Acanthurus leucosternon,2019,91,13,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus leucosternon
Acanthurus lineatus,2015,50,15,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,Acanthurus lineatus
